Student Name,Admission No.,Book Name,Date of Issue,Date of Return,Days Due
Rohan Verma,2023PE7172,Machine Learning,2026-02-17,2026-02-26,0
Aarav Sharma,2023PE1613,Microprocessors,2026-01-06,2026-01-17,0
Aarav Sharma,2023PE1613,Signals and Systems,2026-01-08,2026-01-14,0
Aarav Sharma,2023PE1613,Introduction to Algorithms,2026-02-10,2026-03-06,10
Aarav Sharma,2023PE1613,Signals and Systems,2026-02-06,2026-03-03,11
Isha Deshmukh,2023PE9519,Machine Learning,2026-02-20,2026-03-17,11
Isha Deshmukh,2023PE9519,Web Technologies,2026-02-19,2026-02-24,0
Isha Deshmukh,2023PE9519,Introduction to Algorithms,2026-02-05,2026-03-02,11
Isha Deshmukh,2023PE9519,Signals and Systems,2026-02-20,2026-03-09,3
Arjun Nair,2023PE7156,Web Technologies,2026-02-01,2026-02-06,0
Arjun Nair,2023PE7156,IC Engines,2026-02-10,2026-02-27,3
Arjun Nair,2023PE7156,Thermodynamics,2026-02-07,2026-03-01,8
Arjun Nair,2023PE7156,Web Technologies,2026-01-09,2026-01-23,0
Sanya Mehta,2022PE1161,Introduction to Algorithms,2026-01-15,2026-01-20,0
Sanya Mehta,2022PE1161,Introduction to Algorithms,2026-02-15,2026-03-04,3
Sanya Mehta,2022PE1161,Web Technologies,2026-01-11,2026-01-27,2
Sanya Mehta,2022PE1161,Microprocessors,2026-01-22,2026-02-01,0
Ananya Iyer,2023PE1110,Signals and Systems,2026-02-21,2026-02-28,0
Ananya Iyer,2023PE1110,Thermodynamics,2026-02-12,2026-03-02,4
Ananya Iyer,2023PE1110,Introduction to Algorithms,2026-01-07,2026-01-18,0
Ananya Iyer,2023PE1110,Thermodynamics,2026-01-26,2026-02-13,4
Aarav Sharma,2023PE3412,Introduction to Algorithms,2026-02-10,2026-02-17,0
Aarav Sharma,2023PE3412,Machine Learning,2026-02-20,2026-03-17,11
Aarav Sharma,2023PE3412,Thermodynamics,2026-02-15,2026-03-05,4
Aarav Sharma,2023PE3412,Web Technologies,2026-02-23,2026-03-12,3
Ananya Iyer,2023PE3825,Microprocessors,2026-02-25,2026-03-17,6
Ananya Iyer,2023PE3825,Web Technologies,2026-01-26,2026-02-18,9
Ananya Iyer,2023PE3825,Thermodynamics,2026-01-08,2026-01-22,0
Ananya Iyer,2023PE3825,Signals and Systems,2026-01-06,2026-01-15,0
Kiara Joshi,2023PE7282,Introduction to Algorithms,2026-02-28,2026-03-11,0
Kiara Joshi,2023PE7282,Web Technologies,2026-02-02,2026-02-07,0
Kiara Joshi,2023PE7282,Web Technologies,2026-01-19,2026-01-24,0
Kiara Joshi,2023PE7282,Signals and Systems,2026-01-07,2026-01-15,0
Ananya Iyer,2022PE7102,Thermodynamics,2026-02-08,2026-02-27,5
Ananya Iyer,2022PE7102,Introduction to Algorithms,2026-03-02,2026-03-11,0
Ananya Iyer,2022PE7102,Microprocessors,2026-02-11,2026-02-17,0
Ananya Iyer,2022PE7102,Thermodynamics,2026-01-08,2026-01-16,0
Ananya Iyer,2022PE4495,Machine Learning,2026-02-09,2026-02-14,0
Ananya Iyer,2022PE4495,Machine Learning,2026-01-31,2026-02-17,3
Ananya Iyer,2022PE4495,Introduction to Algorithms,2026-01-02,2026-01-14,0
Ananya Iyer,2022PE4495,Introduction to Algorithms,2026-02-25,2026-03-02,0
Rohan Verma,2022PE5826,Machine Learning,2026-02-05,2026-02-10,0
Rohan Verma,2022PE5826,Introduction to Algorithms,2026-02-17,2026-03-11,8
Rohan Verma,2022PE5826,Microprocessors,2026-01-17,2026-01-29,0
Rohan Verma,2022PE5826,IC Engines,2026-01-14,2026-02-01,4
Rohan Verma,2023PE6771,Web Technologies,2026-03-02,2026-03-23,7
Rohan Verma,2023PE6771,Web Technologies,2026-02-19,2026-02-28,0
Rohan Verma,2023PE6771,Machine Learning,2026-01-14,2026-01-27,0
Rohan Verma,2023PE6771,Machine Learning,2026-02-19,2026-03-06,1
Rohan Verma,2022PE7916,IC Engines,2026-02-20,2026-02-28,0
Rohan Verma,2022PE7916,IC Engines,2026-02-23,2026-03-07,0
Rohan Verma,2022PE7916,Signals and Systems,2026-01-19,2026-01-29,0
Rohan Verma,2022PE7916,Thermodynamics,2026-03-01,2026-03-14,0
Arjun Nair,2022PE8162,IC Engines,2026-02-28,2026-03-05,0
Arjun Nair,2022PE8162,Microprocessors,2026-02-11,2026-03-06,9
Arjun Nair,2022PE8162,Thermodynamics,2026-02-18,2026-03-11,7
Arjun Nair,2022PE8162,Machine Learning,2026-02-05,2026-02-18,0
Aarav Sharma,2023PE6452,Introduction to Algorithms,2026-02-22,2026-03-09,1
Aarav Sharma,2023PE6452,Thermodynamics,2026-01-25,2026-02-05,0
Aarav Sharma,2023PE6452,Machine Learning,2026-03-02,2026-03-13,0
Aarav Sharma,2023PE6452,Introduction to Algorithms,2026-02-03,2026-02-08,0
Ananya Iyer,2022PE3496,Introduction to Algorithms,2026-01-29,2026-02-18,6
Ananya Iyer,2022PE3496,Microprocessors,2026-02-06,2026-02-23,3
Ananya Iyer,2022PE3496,Signals and Systems,2026-01-28,2026-02-19,8
Ananya Iyer,2022PE3496,Machine Learning,2026-02-02,2026-02-07,0
Rohan Verma,2022PE4127,Microprocessors,2026-01-29,2026-02-19,7
Rohan Verma,2022PE4127,Introduction to Algorithms,2026-01-28,2026-02-14,3
Rohan Verma,2022PE4127,IC Engines,2026-01-25,2026-02-08,0
Rohan Verma,2022PE4127,Machine Learning,2026-01-13,2026-02-05,9
Ananya Iyer,2023PE5987,Signals and Systems,2026-02-13,2026-02-28,1
Ananya Iyer,2023PE5987,Machine Learning,2026-02-17,2026-03-06,3
Ananya Iyer,2023PE5987,Signals and Systems,2026-01-12,2026-01-26,0
Ananya Iyer,2023PE5987,Web Technologies,2026-02-07,2026-02-14,0
Sanya Mehta,2022PE2665,Thermodynamics,2026-02-26,2026-03-04,0
Sanya Mehta,2022PE2665,Signals and Systems,2026-01-17,2026-01-31,0
Sanya Mehta,2022PE2665,Machine Learning,2026-02-05,2026-02-24,5
Sanya Mehta,2022PE2665,Thermodynamics,2026-02-26,2026-03-10,0
Kiara Joshi,2022PE9140,Thermodynamics,2026-01-11,2026-01-21,0
Kiara Joshi,2022PE9140,Thermodynamics,2026-02-05,2026-02-19,0
Kiara Joshi,2022PE9140,Signals and Systems,2026-02-28,2026-03-14,0
Kiara Joshi,2022PE9140,Machine Learning,2026-01-20,2026-02-03,0
Rohan Verma,2023PE3047,Microprocessors,2026-01-18,2026-01-30,0
Rohan Verma,2023PE3047,Machine Learning,2026-02-08,2026-02-28,6
Rohan Verma,2023PE3047,Web Technologies,2026-01-02,2026-01-09,0
Rohan Verma,2023PE3047,Introduction to Algorithms,2026-03-01,2026-03-12,0
Sanya Mehta,2023PE4358,Machine Learning,2026-02-07,2026-02-28,7
Sanya Mehta,2023PE4358,IC Engines,2026-01-18,2026-02-12,11
Sanya Mehta,2023PE4358,Microprocessors,2026-02-11,2026-03-04,7
Sanya Mehta,2023PE4358,Microprocessors,2026-02-06,2026-03-03,11
Rohan Verma,2023PE7200,Introduction to Algorithms,2026-01-09,2026-01-28,5
Rohan Verma,2023PE7200,Microprocessors,2026-01-31,2026-02-05,0
Rohan Verma,2023PE7200,IC Engines,2026-01-31,2026-02-07,0
Rohan Verma,2023PE7200,Signals and Systems,2026-01-30,2026-02-22,9
Kiara Joshi,2023PE7895,Microprocessors,2026-01-09,2026-01-27,4
Kiara Joshi,2023PE7895,Web Technologies,2026-02-28,2026-03-17,3
Kiara Joshi,2023PE7895,Machine Learning,2026-02-27,2026-03-14,1
Kiara Joshi,2023PE7895,Web Technologies,2026-01-24,2026-02-07,0
